Review : 1 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: Work from home, coworkers are nice, benefits package ok| Cons: A lot of employees have the "not my job" mentality and are quick to pass the ball to someone else. Annual raise doesn't even cover inflation rate. Consistently given more and more work but annual review always "meets expectations". Although "meets expectations" not given full bonus; only response from manager is "I did what I could". Advancement opportunities slim to none, if you don't know the right people (wrong people keep getting promoted)
Review : 2 : Recommended::Doesn't Recommend | outLook::Neutral Outlook | CEO: No opinion of CEO| Pros: some good people, flexibility to work from home, very little oversight so you can basically do nothing and nobody would know| Cons: No direction or vision. Leadership is barely in the office. A growing number of unmotivated employees
Review : 3 : Recommended::Doesn't Recommend | outLook::Positive Outlook | CEO: Disapproves of CEO| Pros: A Great teamwork and coworkers.| Cons: The Salary is really low compared to the job.
Review : 4 : Recommended::Doesn't Recommend | outLook::Positive Outlook | CEO: No opinion of CEO| Pros: You will learn a lot about SQL, and IIS, and if you want Automation Monitoring starting salary if negotiated correctly is not bad| Cons: You will not get a cost of living raise and they cut back on benefits so that in the end each year you are loosing more and more money then what you started with I have had manager tell me that they will not allow me to transfer to their team from my current team because my Manager will complain and it is not fair yo him. they prefer to promote from outside the company then from within
Review : 5 : Recommended::Recommends | outLook::Positive Outlook | CEO: No opinion of CEO| Pros: Flexible work hours, good tools, interesting work| Cons: turnover, lack of direction to employees who are retiring
Review : 6 : Recommended::N/A | outLook::Neutral Outlook | CEO: Disapproves of CEO| Pros: Flexible work days, learning environment| Cons: Political environment, too slow to advance career wise, extremely low compensation compared to competitors
Review : 7 : Recommended::Recommends | outLook::Neutral Outlook | CEO: Approves of CEO| Pros: Friendly environment in the office I work in and my teammates.| Cons: There is no accountability in so many departments. Everyone is trying to get others to do their work for them all the time. Pay vs workload is near the bottom for a lot of jobs so employees always leaving.
Review : 8 : Recommended::Recommends | outLook::Positive Outlook | CEO: No opinion of CEO| Pros: Great people (for the most part) in management and coaching Benefits and pension options Work events Community support events| Cons: Management structure was lacking organization No clear path for long term career development Seeing some of the best benefits and pension plans available in the country, easy to realize ours was not very great Job did not pay well enough for workload and variety of things to learn and have to remember to implement depending on who calls when
Review : 9 : Recommended::Doesn't Recommend | outLook::N/A | CEO: No opinion of CEO| Pros: - Majority of the staffs are friendly - Can meet many people working in or heading towards the field of psychology - flexible hours after complete the training - If you sell well, meet all the targets, you can be promoted fairly quickly - Benefits are pretty good for this type of salary - great place to gain entry experience and knowledge for the field of counselling| Cons: - Very sales based position, sales &gt; client need, even though they are providing mental health related service. - expecting taking 40-50 + calls a day during busy season - work environment isn't too flexible, you washroom, lunch and all other break time is strictly calculated and monitored. (30 mins lunch break).
Review : 10 : Recommended::Doesn't Recommend | outLook::Negative Outlook | CEO: No opinion of CEO| Pros: Great flexibility in schedules - various shifts available Various locations x Canada and abroad Mobility| Cons: Do not cover mental health claims while boasting largest mental health consulting firm in Canada Low salaries for some EEs / Customer service Poor benefits Little vacation, sick days No specific training for people leaders, who get away with bad behaviour, judgementalism Unequal quality in people leaders due to lack of training and favouritism
Review : 11 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: Possible room for growth Convenient location| Cons: Micro management Salary not enough for the amount of work
Review : 12 : Recommended::N/A | outLook::Neutral Outlook | CEO: No opinion of CEO| Pros: Work from home is great. Set your own hours.| Cons: Little direction from management, or opportunity to advance
Review : 13 : Recommended::Doesn't Recommend | outLook::Neutral Outlook | CEO: Disapproves of CEO| Pros: Some good people to work with at most levels in most teams. Dress codes have been relaxed over the years which is nice. Management is open to new ideas and rarely shoots down something without giving it a reasonable chance.| Cons: Severly understaffed in many areas. Way too much reliance on individual resources for many tasks with no backup. Business is at a huge risk of coming to a grinding halt in many areas should key staff ever leave, but it's also how costs are kept down. Recently allowed anonymous feedback and questions in all employee calls, but decided while on a full court press to improve engagement scores that allowing people to safely & honestly share their feedback without repercussions wasn't desirable. Now forces everyone to identify themselves to ensure that the Senior Leadership only gets positive questions. Not sure how they think that will lead to higher instead of lower scores. Also seems to think that when they do something people don't like if they could just explain it right people would agree with them. Doesn't seem able to understand that they don't always know & do what's best for employees no matter how often the employees explain to them that they're not happy with certain things.
Review : 14 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: -Learn a lot - Good co-workers| Cons: -Pay below industry - Work long hours
Review : 15 : Recommended::Doesn't Recommend | outLook::Neutral Outlook | CEO: No opinion of CEO| Pros: Flexibility, work life balance achievable| Cons: Inconsistent management styles, ideas, values
Review : 16 : Recommended::Recommends | outLook::N/A | CEO: Approves of CEO| Pros: Good company to work for| Cons: None that I can think of
Review : 17 : Recommended::Recommends | outLook::Positive Outlook | CEO: N/A| Pros: A great learning platform and room for growth| Cons: Low salary as compared to similar industries
Review : 18 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: Friendly coworkers, career opportunities, lots to learn.| Cons: Low pay and benefits are not competitive
Review : 19 : Recommended::Doesn't Recommend | outLook::Positive Outlook | CEO: Approves of CEO| Pros: - good place to start to get experience| Cons: - working atmosphere can be negative - high turnover
Review : 20 : Recommended::Recommends | outLook::N/A | CEO: N/A| Pros: Stable Company, flexibility to work from home| Cons: Laid back environment , low salary , complicated organisation structure.
Review : 21 : Recommended::Recommends | outLook::Neutral Outlook | CEO: No opinion of CEO| Pros: - Great people - Good entry level role to use as a stepping stone - Great transferrable skills learned| Cons: - work/life balance and hours of work (outside 9-5pm) - Stressful "call centre" environment with aggressive targets - High turn over
Review : 22 : Recommended::Doesn't Recommend | outLook::Positive Outlook | CEO: Approves of CEO| Pros: It is Located downtown of toronto| Cons: Little or no room to grow
Review : 23 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: Amazing people good benefits and health activity| Cons: Low salary, pressure at work
Review : 24 : Recommended::Recommends | outLook::N/A | CEO: N/A| Pros: - Flexible hours - Group benefits and social events - Paid study leave - Positive work environment| Cons: - Work is repetitive - Performance review has no real impact on pay increase or promotions - Knowledge of actuarial concepts is not really necessary
Review : 25 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: The co-workers you share the line with are good people.| Cons: No clear direction of management. Opportunity for growth is small.
Review : 26 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: Benefits, flexibility , work life balance| Cons: Limited growing opportunities in IT
Review : 27 : Recommended::Doesn't Recommend | outLook::N/A | CEO: N/A| Pros: A Friendly atmosphere, interesting tasks| Cons: Salary too low, no incentive and promotion are not based on performance.
Review : 28 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: Work-life balance, flexible hours, work from home| Cons: Low salary, selfish managers, lack of promotion/moving up
Review : 29 : Recommended::Recommends | outLook::Neutral Outlook | CEO: Disapproves of CEO| Pros: amazing, hard working colleagues lots of opportunity to help shape products and services career advancement is possible - comes at cost always lots of change - which can be exciting for a while| Cons: morale has never been lower in my 6yrs with the company. Previous CEO said very little and in turn little was done for staff which many didn't like. Current CEO says a ton, but nothing is done; its all filler to get through the all employee call. It might be better to say nothing? The constant change forces people to constantly pivot WHO they are and what they are doing to match whomever is in charge.
Review : 30 : Recommended::Recommends | outLook::Positive Outlook | CEO: Approves of CEO| Pros: good work life balance, great place to learn| Cons: nothing nothing nothing nothing nothing nothing
Review : 31 : Recommended::Recommends | outLook::Neutral Outlook | CEO: Disapproves of CEO| Pros: You will learn a LOT and you will like the people. So much that if you decide to state in the industry, you will have no difficulty finding better-compensated work with another firm.| Cons: You will have times of feeling worked to death and under-appreciated for your contribution.
Review : 32 : Recommended::Recommends | outLook::Positive Outlook | CEO: Approves of CEO| Pros: They do hire genuinely nice people who work together Opportunities for growth Good work life balance| Cons: Not competitive salary wise Lots of restructuring
